GOODS_NAME	GOODS_URL	GOODS_SECTION_ID	GOODS_PV	GOODS_CONDITION	GOODS_ANTY_CONDITION	GOODS_RECOMMENDATION	GOODS_PROPERTY	GOODS_COMPOSITION	GOODS_PACKING	GOODS_WEIGHT	PROVIDER_SHOW_NAME	CATALOG_SECTION_ID	CATALOG_NAME	CATEGORY
Сливки 4D уход с гиалуроновой кислотой «Амарант», 100 мл	https://argo.pro/catalog/kosmetika-po-ukhodu-za-kozhey/2180304/	145	30.0			Наносить на увлажненную и очищенную кожу лица, шеи и зоны декольте.	Мягкая и комфортная формула СЛИВОК способствует улучшению качества кожи и уменьшению выраженности морщин, устраняет излишнюю сухость, освежает цвет лица.  Масло персика оказывает увлажняющее, питательное, витаминизирующее действие.   Тапиока матирует, смягчает, придает коже гладкость и бархатистость.  Масло амаранта способствует повышению упругости и эластичности кожи.   Комбинация 4 форм гиалуроновой кислоты формирует трехмерную сеть в различных слоях кожи, увлажняет ее изнутри и снаружи. Стимулирует синтез протеинов, предотвращает трансэпидермальную потерю влаги. Увеличивает упругость кожи, стимулирует выработку коллагена.	Aqua, Prinus Persica Kernel Oil( масло персика), Caprylic/Capric Triglycerides (органический эфир глицерина), Glyceryl Stearate Citrate (натуральный эмульгатор), Ethylhexyl Isononanoate, Polyglyceryl-3 Cetyl Ether Olivate/ Succinate (эфир оливкового масла и янтарной кислоты), Tapioca (тапиока) Amarantus Caudatus (масло амаранта, Sodium Hyaluronate Crosspolymer/Sodium Hyaluronate/ Sodium Acetylate Hyaluronate/Hydrolyzed Sodium Hyaluronate/Pentylene Glycol/ Ethylhexylglycerin (комбинация 4 форм гиалуроновой кислоты), Ethylhexylglycerin, Glyceryl Linoleate & Glyceryl Oleate&Glyceryl Linolenate (витамин F), Tocopherol Acetate(BHTaMHH E), Dexpantenol (провитамин В 5), Sodium Ascorbyl Phosphate (витамин С), Citric acid (лимонная кислота), Persea Gratissima PEG-8 Esters (эфиры масла авокадо), Parfum.	100 мл	150	Интеллект-К	145	Косметика по уходу за кожей	Системы и направления/Продукты для красоты/Косметика по уходу за кожей/
Биогель для умывания, 200 мл	https://argo.pro/catalog/kosmetika-po-ukhodu-za-kozhey/2237896/	145	13.0	Применение: утром и вечером. Нанести гель на кожу лица, помассировать и тщательно смыть водой. Подходит для всех типов кожи.			Мягкий скраб-эффект, снимает макияж, матирует. Не содержит SLS. Бережно и глубоко очищает даже самую чувствительную кожу, не сушит ее (мягкий ПАВ). Создан на основе морских водорослей с действенными активами. Через 7 дней применения кожа становится более увлажненной и защищенной от негативного воздействия свободных радикалов.	Вода; экстракт фукуса, ламинарии; лаурил глюкозид, каррагинан; диметилсульфон; инозитол; аргинин; соли мертвого моря; частицы бамбука; масло хлопка; дегидрацетовая кислота; бензиловый спирт; эфирное масло лимона.	200 мл	219	Марианна	145	Косметика по уходу за кожей	Системы и направления/Продукты для красоты/Косметика по уходу за кожей/
Биотоник лифтинг, 150 мл	https://argo.pro/catalog/kosmetika-po-ukhodu-za-kozhey/2237897/	145	12.0	Применение: наносить на чистую кожу лица, шеи и декольте.			Экстракты морских водорослей заряжают кожу энергией. Минералы укрепляют ее коллагеновый каркас, защищают от стресса и воздействия свободных радикалов.  Гиалурон 4D и инозитол длительно увлажняют кожу снаружи и в глубоких слоях.   Через 7 дней применения кожа становится более плотной, гладкой и подтянутой.	Вода; экстракт фукуса; ульва лактука; РСА кальция, магния, меди, цинка; диметилсульфон; никотинамид; инозитол; ксилит; низко-молекулярный гиалуронат натрия; АНА-кислоты; дегидрацетовая кислота; парфюмерная композиция.	150 мл	170	Марианна	145	Косметика по уходу за кожей	Системы и направления/Продукты для красоты/Косметика по уходу за кожей/
Крем «AfalinaBeauty Anti-Age» с церамидами, 50 мл	https://argo.pro/catalog/kosmetika-po-ukhodu-za-kozhey/2408126/	145	125.0	Способ применения: наносить на увлажненную и очищенную кожу лица.			Успокаивающий крем-антиоксидант для увядающей тусклой кожи. Эффективная коррекция проблем кожи с признаками старения – мелких морщин, потери упругости и эластичности кожи.  Церамиды соевого масла обеспечивают защиту от внешних агрессивных факторов: ультрафиолета, морозного воздуха. Усиливают барьерные свойства кожи.   Комбинация 4-х форм гиалуроновой кислоты накапливается и формирует трехмерную сеть в различных слоях кожи, увлажняет ее изнутри и снаружи. Стимулирует синтез протеинов, предотвращает трансэпидермальную потерю жидкости. Увеличивает упругость кожи, стимулируя выработку коллагена.  Масла авокадо, виноградных косточек, масло какао, масло макадамии способствуют питанию и регенерации кожи.   Сквалан, масло кунжута способствуют выработке собственного коллагена и эластина, восстанавливают баланс минералов.	Вода деинизированная, масло авокадо, каприлик/каприк триглицериды, этилгексил изононоат, глицерил стеарат цитрат, масло виноградной косточки, Д-пантенол, масла макадамии и шиповника, глицерил линолеат, глицерил олеат, стеариловый алкоголь, гидролезат коллагена, масло какао, сквалан, протеины кунжута, дигидрокверцитин, экстракт эдельвейса, гиалуронат натрия, этилгексилглицерин, кальция пантотенат, церамиды соевого масла, аллантоин, ретинол ацетат, аскорбил фосфат, токоферол ацетат, фолиевая кислота, санталовое масло.	50 мл	130	Интеллект-К	145	Косметика по уходу за кожей	Системы и направления/Продукты для красоты/Косметика по уходу за кожей/
Крем «AfalinaBeauty Intensive» с коллагеном, 50 мл	https://argo.pro/catalog/kosmetika-po-ukhodu-za-kozhey/2408127/	145	120.0	Способ применения: наносить на увлажненную и очищенную кожу лица.			Интенсивный уход для питания, регенерации и омоложения кожи. Крем способствует улучшению качества кожи и уменьшению выраженности морщин, устраняет излишнюю сухость, освежает цвет лица.  Гидролизат коллагена – дополнительный источник аминокислот, влагоудерживающий и питательный компонент.   Гиалуроновая кислота в 4-х формах активно удерживает влагу на поверхности кожи, предотвращает потерю влаги, увеличивает упругость кожи.  Масло какао способствует защите кожи от низких температур, препятствует ее увяданию, способствует эластичности и восстановлению свойств кожи.	Вода деионизированная, глицерил стеарат цитрат, каприлик/каприк триглицериды, масло персиковое, цетеарилэтилгексаноат , масло какао, масло жожоба, масло ши, гидролизат коллагена, бетаин , глицерил линолеат/глицерил олеат и глицерил линолеат, гиалуронат натрия, протеины шелка, аскорбил гликозид, экстракт жимолости японской и жимолости душистой, ретинол ацетат , токоферол ацетат, Д-пантенол, янтарная кислота, этилгексилглицерин, натрия сорбат, парфюмерная композиция.	50 мл	130	Интеллект-К	145	Косметика по уходу за кожей	Системы и направления/Продукты для красоты/Косметика по уходу за кожей/
Крем массажный с экстрактом сабельника «Эсобел», 50 мл	https://argo.pro/catalog/antitsellyulitnye/360225/	146	9.0	- Для профилактики заболеваний опорно-двигательного аппарата, особенно при наследственной предрасположенности и повышенных физических нагрузках; - в комплексной терапии хронических заболеваний суставов, остеохондроза, грыжи межпозвоночных дисков, заболеваний связочного аппарата;  -  для стимулирования регенерации поврежденных тканей после травм; - при ревматических артритах, миозитах, плекситах, невралгиях, ушибах, для общего и антицеллюлитного массажа.	Индивидуальная непереносимость	Как болеутоляющее средство крем втирать массирующими движениями в область поражения не менее 10 минут.	- противовоспалительное,  - обезболивающее,  - противоотечное, - позволяет улучшить состояние соединительной ткани, особенно травмирующей или стареющей.	Вазелин, жир животный, церезин, вода, ланолин, гидренол, воск эмульсионный, монтанокс, монтане, соль эсобел (водорастворимый концентрированный сухой экстракт высокоминерализо-ванных иловосульфидных отложений сибирских озер), экстракт подземной и надземной части сабельника болотного, метиловый эфир парагидроксибензойной кислоты, пропиловый эфир парагидроксибензойной кислоты, отдушка сливки, гуардиан токо.	50 мл	65	Биолит	146	Антицеллюлитные	Системы и направления/Продукты для красоты/Косметика по уходу за кожей/Антицеллюлитные/
Масло косметическое «ВитаЭМ»,150 г	https://argo.pro/catalog/antitsellyulitnye/2608755/	146	14.0	Рекомендации по применению: масло косметическое для тела предназначено для ухода за кожей после мытья, способствует устранению сухости кожи и улучшению микроциркуляции крови. Способ применения: небольшое количество масла необходимо нанести на сухую кожу и растереть круговыми массажными движениями. Подходит для всех типов кожи. Масло косметическое для тела не обладает раздражающим, ирритативным и сенсибилизирующим действием. При попадании в глаза – рекомендуется промыть теплой проточной водой.	Нет противопоказаний.		Масло косметическое для тела обладает омолаживающим, защитным, восстанавливающим действием на кожу. Может использоваться в качестве массажного масла для взрослых и детей. Способствует профилактике появления целлюлита, растяжек на коже при изменении веса и беременности. Может использоваться для укрепления ногтей, как база под макияж и в качестве бальзама для губ. Масло смягчает и увлажняет кожу тела, способствуют улучшению микроциркуляции крови, сохранению ее упругости и эластичности.	Кокосовое масло, пальмоядровое масло, облепиховое масло, глицерин, молоко козье, биомасса микроорганизмов «КуЭМсил».	150 г	160	АРГО ЭМ-1	146	Антицеллюлитные	Системы и направления/Продукты для красоты/Косметика по уходу за кожей/Антицеллюлитные/
Скраб очищающий «ВитаЭМ», 300 г	https://argo.pro/catalog/antitsellyulitnye/2608757/	146	10.0	Рекомендации: скраб предназначен для более глубокого очищения кожи тела, способствует удалению мертвых частичек кожи и очищению пор, профилактике появления целлюлита. Способ  применения: принять душ или ванну. Специальной лопаточкой или руками нанести скраб. Двигаться нужно снизу вверх. Помассировать кожу с легким нажимом. Более интенсивный нажим использовать на местах сильного огрубения кожи (локти, пятки, колени), участках тела, склонных к образованию целлюлита (живот, бедра, ягодицы). Смыть остатки средства под душем.  Подходит для всех типов кожи. Не обладает раздражающим, ирритативным и сенсибилизирующим действием. При попадании в глаза – рекомендуется промыть теплой проточной водой.			Скрабирующие компоненты придают коже приятный аромат, очищают кожу от загрязнений, эффективно растворяют сальные частицы, выравнивают поверхность кожи, помогают проникать питательным веществам, освобождают от ороговевшего слоя клеток; стимулируют процессы кровообращения; улучшают насыщение тканей кислородом, подавляют развитие бактерий, вызывающих воспаление кожи. Натуральное касторовое и облепиховое масла хорошо увлажняют поверхность кожи, снимают раздражение, которое часто может возникать при использовании скрабов.	Сода пищевая, кислота лимонная, соль морская, скорлупа кедровых орехов, кокосовое масло, касторовое масло, натуральное эфирное масло облепихи, молоко козье пищевой продукт «КуЭМсил».	300 г	315	АРГО ЭМ-1	146	Антицеллюлитные	Системы и направления/Продукты для красоты/Косметика по уходу за кожей/Антицеллюлитные/
Крем-депилятор «Альфион», 100 мл	https://argo.pro/catalog/depilyatsiya/7268/	147	10.0			Рекомендации по применению: при помощи лопаточки равномерно распределите крем толстым слоем на коже так, чтобы покрыть все волосы.  Через 5 минут проверьте, подействовал ли крем, очистив небольшую зону лопаточкой. Если волосы легко удаляются, очистите кожу от крема с помощью лопаточки, смойте прохладной водой.   Не используйте моющие средства!  Если волосы удаляются не полностью, оставьте крем на коже еще на несколько минут. Если у вас очень жесткие волосы, то нанесите 3 слоя крема с интервалом в 5 минут.   Не оставляйте крем на коже более 15 мин. Не используйте крем для удаления волос на лице.	Крем-депилятор содержит тиогликолят кальция, который растворяет белок кератин, из которого состоят волосы. Крем-депилятор предназначен для чувствительной кожи рук, ног и зоны бикини. Содержит активный натуральный комплекс на основе экстрактов листьев папайи, хмеля и шалфея, замедляющих рост волос на длительное время. В составе крема-депилятора также входят экстракты огурца и алоэ-вера, которые оказывают смягчающее и увлажняющее действие на кожу. После депиляции кожа остается гладкой и шелковистой.		100 мл	120	ФитоЛайн	147	Для депиляции	Системы и направления/Продукты для красоты/Косметика по уходу за кожей/Для депиляции/
Гель «Эплир», 20 мл	https://argo.pro/catalog/dlya-vek/6971/	149	9.0	Как вспомогательное средство в комплексной терапии: • конъюнктивитов (сухого конъюнктивита вследствие недостаточного или неравномерного слезоотделения в результате применения некоторых медикаментов, инфекционного блефароконъюнктивита, легкого травматического и аллергического конъюнктивитов;  • травм лица и век – для быстрого заживления и предупреждения образования рубцовой ткани, ускорения заживления трещин, порезов, мелких ран; • герпетических высыпаний на веках, вокруг глаз, в полости носа, на губах. Для профилактики возрастных изменений кожи под глазами – вялости и дряблости, появления морщин и увядания кожи век. Для устранения отеков, следов усталости и напряжения вокруг глаз.	Индивидуальная непереносимость ингредиентов геля.	При герпетических высыпаниях и конъюнктивитах гель наносить 2 раза в день на пораженные участки. Для ухода за кожей вокруг глаз гель легкими движениями распределить по коже век – от внутреннего угла к наружному, не растягивая кожу. Процедуру повторять ежедневно, утром и вечером.Гель «Эплир» не обладает аллергенным и раздражающим действием.	Гель «Эплир» обладает выраженными биостимулирующим, регенерирующим, противовоспалительным, обезболивающим, антиоксидантным эффектами. Композиция экстракта очанки и биологически активных веществ эплира улучшает работу кровеносных сосудов кожи, обеспечивает ее белками, кислородом, незаменимыми жирными кислотами, энергетическими ферментами; восстанавливает волокна коллагена и эластина, способствует восстановлению естественного увлажняющего комплекса кожи.	Вода, глицерин, масло растительное подсолнечное, аристофлекс, экстракт травы очанки лекарственной, гермабен, экстракт полярных липидов иловых сульфидных лечебных грязей (эплир), гуардиан токо, катон.	20 мл	35	Биолит	149	Для век	Системы и направления/Продукты для красоты/Косметика по уходу за кожей/Для век/
